//载入每级升级所需经验
"load_lvlup_xp"
{
    "1"     "230"
    "2"     "370"
    "3"     "480"
    "4"     "580"
    "5"     "600"
    "6"     "720"
    "7"     "750"
    "8"     "890"
    "9"     "930"
    "10"    "970"
    "11"     "1010"
    "12"     "1050"
    "13"     "1225"
    "14"     "1250"
    "15"     "1275"
    "16"     "1300"
    "17"     "1325"
    "18"     "1500"
    "19"     "1590"
    "20"    "1600"
    "21"     "1850"
    "22"     "2100"
    "23"     "2350"
    "24"     "2600"
    "25"     "3500"
    "26"     "4500"
    "27"     "5500"
    "28"     "6500"
    "29"     "7500"
}
